Entity,Code,Year,"Number of people not in poverty (above $10 a day, 2021 prices)","Number of people in poverty (between $8.30 and $10 a day, 2021 prices)","Number of people in poverty (between $4.20 and $8.30 a day, 2021 prices)","Number of people in poverty (between $3 and $4.20 a day, 2021 prices)","Number of people in poverty ($3 a day, 2021 prices)"
Palestine,PSE,2011,2432102,453605,885611,97130,14538
Palestine,PSE,2016,2697861,507283,1030785,135877,61070
Palestine,PSE,2023,3129325,559824,1163160,206363,107103
Panama,PAN,1979,771521,149254,502720,188937,299120
Panama,PAN,1989,793200,171848,511687,211407,715678
Panama,PAN,1991,885267,138499,601189,202990,680320
Panama,PAN,1995,1186291,205669,572013,185248,575336
Panama,PAN,1997,1221789,205646,649226,195311,564723
Panama,PAN,1998,1225042,216837,668062,211874,572099
Panama,PAN,1999,1319163,223796,678045,207886,522932
Panama,PAN,2000,1396004,221083,686757,214477,492048
Panama,PAN,2001,1310598,205582,687709,227669,637979
Panama,PAN,2002,1410392,220319,706015,254047,538571
Panama,PAN,2003,1472856,224059,732118,224994,535780
Panama,PAN,2004,1553521,223302,731994,236989,505349
Panama,PAN,2005,1579959,257204,739334,254748,481781
Panama,PAN,2006,1608850,264553,754381,216724,530516
Panama,PAN,2007,1782154,238402,753934,217084,445916
Panama,PAN,2008,2082811,254950,664166,183605,315116
Panama,PAN,2009,2136953,277903,710863,201785,236877
Panama,PAN,2010,2253826,278600,615035,203179,277895
Panama,PAN,2011,2457338,235266,604049,172242,224610
Panama,PAN,2012,2501490,256633,554323,167186,279624
Panama,PAN,2013,2576299,254414,609670,158567,226379
Panama,PAN,2014,2705856,237151,544234,156546,248314
Panama,PAN,2015,2859499,230819,518993,161257,189467
Panama,PAN,2016,2971692,225901,483226,154951,193316
Panama,PAN,2017,3044158,206616,527664,144985,175284
Panama,PAN,2018,3199458,198978,491842,121433,156149
Panama,PAN,2019,3260894,220760,483724,145849,123473
Panama,PAN,2021,3216772,247089,590538,147586,143420
Panama,PAN,2023,3327737,247367,562817,154421,166417
Panama,PAN,2024,3374724,246882,586670,166152,141149
Papua New Guinea,PNG,1996,204683,173622,734172,677894,3022990
Papua New Guinea,PNG,2009,371594,226624,1712521,1301487,3946359
Paraguay,PRY,1990,2438654,433382,872425,188506,102780
Paraguay,PRY,1995,2010534,309961,1070861,350132,838318
Paraguay,PRY,1997,2413447,319378,967638,379177,714772
Paraguay,PRY,1999,2282525,374990,1232056,361300,752264
Paraguay,PRY,2001,2376070,459394,1229499,423921,698805
Paraguay,PRY,2002,1867301,369065,1427032,567391,1030539
Paraguay,PRY,2003,2149578,440937,1516817,482570,736534
Paraguay,PRY,2004,2231687,447335,1626482,505116,577555
Paraguay,PRY,2005,2388800,526894,1567549,417193,547661
Paraguay,PRY,2006,2262971,468604,1541333,457289,774951
Paraguay,PRY,2007,2459283,489350,1558658,353771,698324
Paraguay,PRY,2008,2647862,503630,1537816,480055,444211
Paraguay,PRY,2009,2776346,504521,1395549,477092,517728
Paraguay,PRY,2010,2970242,483887,1364429,381066,538347
Paraguay,PRY,2011,3195451,409730,1346395,343029,520021
Paraguay,PRY,2012,3450521,485233,1260649,320965,379640
Paraguay,PRY,2013,3761915,498762,1214563,261156,246049
Paraguay,PRY,2014,3897651,454384,1155232,303558,258986
Paraguay,PRY,2015,3931569,531475,1156597,280092,259370
Paraguay,PRY,2016,3844812,545811,1318604,279359,260540
Paraguay,PRY,2017,4059036,573347,1287524,268205,150548
Paraguay,PRY,2018,4266210,536808,1180055,246801,197508
Paraguay,PRY,2019,4396955,492366,1204163,262353,159221
Paraguay,PRY,2020,4155789,604313,1414169,260734,168734
Paraguay,PRY,2021,4267273,613468,1428498,250651,124292
Paraguay,PRY,2022,4420178,594390,1260106,267274,218516
Paraguay,PRY,2023,4717137,566864,1164023,232346,163776
Paraguay,PRY,2024,4933496,576934,1105501,167340,145882
Peru,PER,1997,6973460,1735840,7040564,2734496,6789788
Peru,PER,1998,6845955,1838819,7466898,2968089,6618335
Peru,PER,1999,6922808,2013243,7210428,3153959,6886066
Peru,PER,2000,6850694,1757731,8084589,3111674,6793644
Peru,PER,2001,6577294,1952817,7733802,3313175,7387512
Peru,PER,2002,7616167,2072756,7693230,3249763,6656300
Peru,PER,2003,7880306,2050311,8101119,3355078,6193676
Peru,PER,2004,7762599,2179434,8223727,3127742,6558688
Peru,PER,2005,7388952,2107071,8173513,3300911,7130733
Peru,PER,2006,8923449,2235450,8004279,2973189,6188125
Peru,PER,2007,10368653,2407743,7778296,2585614,5390394
Peru,PER,2008,11551306,2549025,7629112,2449430,4540167
Peru,PER,2009,12072613,2622934,7808644,2441473,3951148
Peru,PER,2010,13178351,2619101,7640092,2390678,3257798
Peru,PER,2011,14152472,2716221,7252070,2153302,3030021
Peru,PER,2012,15122864,2652298,7008625,1951245,2815334
Peru,PER,2013,15413335,2693464,7131039,2010802,2569280
Peru,PER,2014,15818941,2856172,7104134,1929327,2407252
Peru,PER,2015,15994711,3032749,7163603,1842702,2423835
Peru,PER,2016,16709186,2932841,7010617,1908330,2305520
Peru,PER,2017,16804769,2830083,7404742,1993939,2291103
Peru,PER,2018,17686357,2985000,7448713,1839656,1937858
Peru,PER,2019,18427035,3121671,7424795,1717294,1758509
Peru,PER,2020,13846319,3199003,9590318,2817888,3385052
Peru,PER,2021,16580490,3490405,9381047,1983201,1720739
Peru,PER,2022,17190139,3624131,9095642,1945039,1620487
Peru,PER,2023,17464793,3426040,8996147,1968941,1989695
Peru,PER,2024,18431310,3398532,8742934,1886082,1758990
Philippines,PHL,1985,4108951,1937979,14551940,10685373,23928765
Philippines,PHL,1988,5190312,2530155,16040272,11485631,24492682
Philippines,PHL,1991,6680302,2736247,17364536,11438793,26162370
Philippines,PHL,1994,7467197,3103795,19370265,12330986,26747045
Philippines,PHL,1997,11916870,4318012,22070601,12892382,22710943
Philippines,PHL,2000,11656544,4372179,25038553,15636859,22921265
Philippines,PHL,2003,13194057,5055991,27937097,16296395,22248292
Philippines,PHL,2006,14930629,5391421,27573264,16678448,24935222
Philippines,PHL,2009,16444464,6186159,31778467,17853138,22122020
Philippines,PHL,2012,17240803,6267323,32824281,18861811,24981294
Philippines,PHL,2015,20244390,7681397,37689925,19752209,19945071
Philippines,PHL,2018,22160834,9013933,44110622,19500735,14679164
Philippines,PHL,2021,19709271,8689334,46041590,20908720,17752037
Philippines,PHL,2023,20480009,9547577,51161337,20453331,13248946
Poland,POL,1985,29825494,3189318,4187072,0,0
Poland,POL,1986,29126210,3086207,4495698,564015,183990
Poland,POL,1987,30436156,3158842,4073046,0,0
Poland,POL,1989,35240446,1491888,1229194,0,0
Poland,POL,1992,31366751,3268892,3351953,290286,85786
Poland,POL,1995,25088009,3859394,7526426,1157156,964015
Poland,POL,1999,29769136,3094144,4929119,483154,384719
Poland,POL,2004,28284082,2781250,5134473,894641,1087778
Poland,POL,2005,29916491,2606481,4498935,617333,526204
Poland,POL,2006,31695447,2219043,3471996,399622,355160
Poland,POL,2007,33521988,1913964,2167314,295869,221425
Poland,POL,2008,34466700,1412115,1944277,179675,122993
Poland,POL,2009,34730444,1404055,1601138,205712,210255
Poland,POL,2010,34966923,1168086,1448578,242064,217141
Poland,POL,2011,34819852,1392637,1481783,155972,213012
Poland,POL,2012,34749094,1378923,1631959,140519,162669
Poland,POL,2013,34924691,1254055,1488977,156260,216213
Poland,POL,2014,35216053,998114,1344480,237845,215244
Poland,POL,2015,35619800,874743,1163907,129046,198916
Poland,POL,2016,36409879,522560,797197,103359,137093
Poland,POL,2017,36728957,446916,571236,67012,160703
Poland,POL,2018,36871690,435934,512415,38505,116208
Poland,POL,2019,37349820,235417,301386,39953,38900
Poland,POL,2020,36867563,203878,318812,54565,70930
Poland,POL,2021,36385489,184101,335151,34551,42268
Poland,POL,2022,36104135,177465,350090,70787,119271
Poland,POL,2023,36175919,113092,243106,65671,89564
Portugal,PRT,2003,9614053,333802,346106,51631,113229
Portugal,PRT,2004,9682743,358604,330654,42154,69706
Portugal,PRT,2005,9820330,274848,288568,45603,73981
Portugal,PRT,2006,9862151,270915,324402,46365,18455
Portugal,PRT,2007,10013623,207272,229415,27868,64786
Portugal,PRT,2008,9985960,181372,295286,58829,36730
Portugal,PRT,2009,10069423,183556,263419,33847,18002
Portugal,PRT,2010,10025673,216375,267351,40475,23226
Portugal,PRT,2011,9817419,238611,401250,34446,65834
Portugal,PRT,2012,9586794,244235,513946,77087,92782
Portugal,PRT,2013,9465389,273144,510710,98909,109143
Portugal,PRT,2014,9495046,294802,449221,81208,80785
Portugal,PRT,2015,9622539,276095,325597,58204,75641
Portugal,PRT,2016,9668887,197264,376979,39981,42341
Portugal,PRT,2017,9816673,172081,235018,31121,45407
Portugal,PRT,2018,9855173,150830,205126,33369,39324
Portugal,PRT,2019,9938205,148287,168441,12309,19021
Portugal,PRT,2020,9825309,169743,196039,40420,65570
Portugal,PRT,2021,10037285,123770,158334,8514,33928
Portugal,PRT,2022,9966686,170284,258587,15324,23451
Portugal,PRT,2023,10235702,114457,155654,28645,43716
Qatar,QAT,2017,2563277,0,0,0,0
Romania,ROU,1989,20598874,1185867,1376717,0,0
Romania,ROU,1992,14276744,2948440,4983287,585813,0
Romania,ROU,1994,1592933,1231068,10831401,4889723,4185087
Romania,ROU,1995,9358148,3232502,7938810,1361589,793221
Romania,ROU,1997,7668859,3327528,9079825,1519483,958283
Romania,ROU,2006,9094262,2320005,5908554,1523725,2347214
Romania,ROU,2007,10165593,2394605,5346440,1275787,1700557
Romania,ROU,2008,11662865,2164636,4513821,954899,1241655
Romania,ROU,2009,11924881,2069631,4306976,977291,1088709
Romania,ROU,2010,11395228,2041212,4489200,1047452,1273780
Romania,ROU,2011,10521895,2210598,4795639,1185484,1433912
Romania,ROU,2012,10658819,1997313,4664536,1058873,1678495
Romania,ROU,2013,10908868,1795936,4189499,1341952,1747437
Romania,ROU,2014,11432041,1973109,3687837,1046896,1769097
Romania,ROU,2015,12039792,1660571,3554069,1055248,1505936
Romania,ROU,2016,13476508,1490226,2941852,764758,1028924
Romania,ROU,2017,14859872,1225576,2166924,377425,958919
Romania,ROU,2018,15735065,947068,1646113,417738,727986
Romania,ROU,2019,16198486,872157,1366989,334956,599060
Romania,ROU,2020,16571639,622054,1291101,312454,468002
Romania,ROU,2021,17221104,433895,900872,178206,387983
Romania,ROU,2022,16786959,621663,1114999,248143,276738
Romania,ROU,2023,17773360,315256,726656,110763,133445
Russia,RUS,1993,82217959,13056949,34141068,9807187,9235621
Russia,RUS,1996,82591863,13035128,32885623,9089624,10557890
Russia,RUS,1997,84396418,15926600,36828979,6727406,4035957
Russia,RUS,1998,75452537,15628309,41929038,8754945,5905955
Russia,RUS,1999,57104105,15533105,50579647,13371823,10626104
Russia,RUS,2000,64415547,16151709,47533963,10981758,7513887
Russia,RUS,2001,73901136,16057115,43468444,7901594,4648191
Russia,RUS,2002,81097125,16109967,38901388,6243215,2954801
Russia,RUS,2003,84705827,15001595,35844722,6017196,3079284
Russia,RUS,2004,89555024,14522677,32225517,5150533,2613561
Russia,RUS,2005,95295019,13852813,28227564,4112581,2030839
Russia,RUS,2006,102054998,12279956,24283114,3128480,1303084
Russia,RUS,2007,110227169,10855235,18976417,2109999,636300
Russia,RUS,2008,118528603,9032987,13963713,955310,261755
Russia,RUS,2009,118552186,9525758,13556886,921111,229403
Russia,RUS,2010,123033663,8201379,10577610,762131,274689
Russia,RUS,2011,125357653,7475259,9460148,586117,139015
Russia,RUS,2012,127389726,6833936,8466036,554627,134123
Russia,RUS,2013,128946447,6628177,7649701,496844,84463
Russia,RUS,2014,129802863,6468443,7534926,352097,78887
Russia,RUS,2015,128647062,7031710,8408727,425310,127911
Russia,RUS,2016,128178121,7551776,8786297,406506,92756
Russia,RUS,2017,128528865,7756590,8449609,411200,147000
Russia,RUS,2018,129918922,7135490,7846142,359093,138465
Russia,RUS,2019,131438025,6845101,6787810,271302,111058
Russia,RUS,2020,131665557,6681057,6522776,315223,60539
Rwanda,RWA,2000,229917,71118,545675,610937,6784086
Rwanda,RWA,2005,399832,119862,943495,923871,6851006
Rwanda,RWA,2010,455210,162722,1200032,1323997,7388221
Rwanda,RWA,2013,515984,205187,1524971,1680549,7370212
Rwanda,RWA,2016,558287,269137,1767193,1793658,7748723
Rwanda,RWA,2023,1026953,421823,3912326,3356792,5469191
Rwanda (rural),,1984,54991,45020,565079,897033,4338249
Saint Lucia,LCA,1995,12092,5865,41780,26929,61542
Saint Lucia,LCA,2015,124933,11091,22943,5279,11237
Samoa,WSM,2002,68391,20602,67890,16726,10862
Samoa,WSM,2008,73164,22612,70904,16312,7115
Samoa,WSM,2013,76380,24242,75162,14066,8860
Sao Tome and Principe,STP,2000,20265,11347,60833,27666,25085
Sao Tome and Principe,STP,2010,18380,12481,78599,37891,34451
Sao Tome and Principe,STP,2017,43423,18708,81798,36122,26919
Senegal,SEN,1991,239262,99032,761705,713787,6185626
Senegal,SEN,1994,181614,93765,964261,1177971,6280395
Senegal,SEN,2001,328775,163928,1585955,1637023,6575775
Senegal,SEN,2005,482702,275073,2529840,2027051,6132504
Senegal,SEN,2011,726307,321599,2648225,2404920,6959809
Senegal,SEN,2018,2488630,1030576,6395147,3129800,3089557
Senegal,SEN,2021,2456348,1296644,7231980,3406344,3135018
Serbia,SRB,2012,4480801,620402,1323411,262268,514615
Serbia,SRB,2013,4240352,557996,1454431,352304,561470
Serbia,SRB,2014,4144542,642866,1402352,308806,633221
Serbia,SRB,2015,4269269,572049,1380874,276476,596715
Serbia,SRB,2016,4448381,565566,1213809,259339,571227
Serbia,SRB,2017,4661684,521042,1133938,237587,466607
Serbia,SRB,2018,5056183,477718,1003513,155132,290058
Serbia,SRB,2019,5498102,399264,758505,100157,189207
Serbia,SRB,2020,5634493,393597,651218,79311,140507
Serbia,SRB,2021,5817267,375352,457619,68156,115932
Serbia,SRB,2022,5662802,318112,469943,77699,135893
Seychelles,SYC,1999,59300,7284,11428,1423,1422
Seychelles,SYC,2006,57896,7559,16545,2267,519
Seychelles,SYC,2013,73895,5228,7631,1777,1418
Seychelles,SYC,2018,84264,4396,6789,730,652
Sierra Leone,SLE,2003,149092,75344,617921,601352,3778485
Sierra Leone,SLE,2011,211454,151360,1340492,1254146,3429799
Sierra Leone,SLE,2018,408427,234179,2000658,1777273,3134026
Slovakia,SVK,1992,4854389,278626,158993,13008,0
Slovakia,SVK,1996,4567693,295454,362486,53883,93845
Slovakia,SVK,2004,4551938,272936,489940,46599,10867
Slovakia,SVK,2005,4796838,229841,291136,41329,13663
Slovakia,SVK,2006,4985203,161646,180790,28205,17210
Slovakia,SVK,2007,5044506,124425,151828,23293,30570
Slovakia,SVK,2008,5026859,106082,183792,34697,27803
Slovakia,SVK,2009,5042634,97565,188804,24580,32823
Slovakia,SVK,2010,5041341,103535,184349,30052,32151
Slovakia,SVK,2011,5112339,98178,141757,13410,32700
Slovakia,SVK,2012,5030745,107222,210761,31565,27286
Slovakia,SVK,2013,5030353,112090,194330,52817,23803
Slovakia,SVK,2014,5001141,133690,180804,54821,48193
Slovakia,SVK,2015,5050227,101831,202822,25646,43275
Slovakia,SVK,2016,5090820,77843,143504,34790,83841
Slovakia,SVK,2017,5178255,98903,90659,40076,31339
Slovakia,SVK,2018,5168787,69305,135911,45086,27682
Slovakia,SVK,2019,5237169,78216,110360,15771,12631
Slovakia,SVK,2020,5191639,141876,99057,10150,16105
Slovakia,SVK,2021,5218369,76062,107071,27005,18740
Slovakia,SVK,2022,4988164,84271,266700,54831,37786
Slovakia,SVK,2023,5058180,146959,179046,18019,24536
Slovenia,SVN,1987,1989776,0,0,0,0
Slovenia,SVN,1993,1928867,62879,0,0,0
Slovenia,SVN,1997,1942314,24159,14886,0,4597
Slovenia,SVN,1999,1934201,24495,19447,0,4902
Slovenia,SVN,2004,1975741,9115,8673,1223,2260
Slovenia,SVN,2005,1982045,6378,8326,1235,2490
Slovenia,SVN,2006,1994042,3504,7321,416,1585
Slovenia,SVN,2007,2005228,7274,3930,976,714
Slovenia,SVN,2008,2010750,5954,4612,0,0
Slovenia,SVN,2009,2028163,6018,5161,0,327
Slovenia,SVN,2010,2042144,2640,3611,0,188
Slovenia,SVN,2011,2042425,3702,6252,464,0
Slovenia,SVN,2012,2039389,7876,8932,422,540
Slovenia,SVN,2013,2037529,10680,10700,596,448
Slovenia,SVN,2014,2046440,9090,5472,978,0
Slovenia,SVN,2015,2046795,8977,7659,0,100
Slovenia,SVN,2016,2054998,3934,5871,239,0
Slovenia,SVN,2017,2059325,4440,2623,0,0
Slovenia,SVN,2018,2067445,2782,3667,0,0
Slovenia,SVN,2019,2082544,2858,2657,326,0
Slovenia,SVN,2020,2097472,3653,1294,0,0
Slovenia,SVN,2021,2101964,3164,2951,0,0
Slovenia,SVN,2022,2106211,2021,2555,1289,0
Slovenia,SVN,2023,2115423,3558,978,502,0
Solomon Islands,SLB,2005,23804,12493,81345,66633,303062
Solomon Islands,SLB,2012,34986,19759,164152,133601,237966
South Africa,ZAF,1993,8841712,1829737,8386226,4921157,19318324
South Africa,ZAF,2000,8282172,1926607,9101419,5414336,22740494
South Africa,ZAF,2005,10575731,1523658,9575880,6973104,20841659
South Africa,ZAF,2008,14460300,2516780,11883727,7064041,15601076
South Africa,ZAF,2010,15524596,2363165,12051118,6942940,15462233
South Africa,ZAF,2014,16399891,2711584,12273488,7502824,17643873
South Asia (WB),,1990,17466088,13565636,200655957,278282074,503327269
South Asia (WB),,1991,16858331,13766460,205976948,284760599,513695838
South Asia (WB),,1992,16971256,14255170,215165491,293395215,517287428
South Asia (WB),,1993,17484152,15024609,226050500,301288146,519408913
South Asia (WB),,1994,18645347,16217674,235667016,308319156,522456279
South Asia (WB),,1995,20638280,17482003,241768427,314376917,529249893
South Asia (WB),,1996,22426980,18246464,247874794,321256115,536194239
South Asia (WB),,1997,23938169,19046678,254050446,325565885,546024742
South Asia (WB),,1998,25411267,19931524,260085464,330358301,555619396
South Asia (WB),,1999,27196640,20800433,267647525,336850299,561768911
South Asia (WB),,2000,28834894,21559654,274107290,342373139,570310559
South Asia (WB),,2001,30311237,22167355,279537663,348210053,579922684
South Asia (WB),,2002,32028430,22790606,285191912,352949087,589624797
South Asia (WB),,2003,34078514,23824468,292890993,359018483,594535318
South Asia (WB),,2004,36313918,25016968,302426966,365749164,596443576
South Asia (WB),,2005,38965114,27009634,319313937,377830409,583767306
South Asia (WB),,2006,41677774,29844671,344570287,394447168,556647428
South Asia (WB),,2007,44995462,32166365,371467284,409829828,528490565
South Asia (WB),,2008,46752287,33925384,387690309,419777556,517901568
South Asia (WB),,2009,50025969,35882216,413347970,432879504,493234581
South Asia (WB),,2010,58860655,40647433,461956225,444333615,439169112
South Asia (WB),,2011,69924747,47387210,503556055,440133835,403370761
South Asia (WB),,2012,78167214,52602097,539135169,439353519,374295025
South Asia (WB),,2013,84297045,56644784,576830812,441776599,342112712
South Asia (WB),,2014,92037460,61832210,621896265,439695755,304377542
South Asia (WB),,2015,101287717,68892207,671621594,432266975,263301619
South Asia (WB),,2016,112862846,77754683,722607921,418446748,223439610
South Asia (WB),,2017,126496989,87764857,771087898,399312488,187858216
South Asia (WB),,2018,141280196,98335604,816325915,375200754,158022203
South Asia (WB),,2019,150664400,105968620,847850775,361045946,139883251
South Asia (WB),,2020,142912154,102692137,846435042,376817319,152216756
South Asia (WB),,2021,157511695,113192012,881892133,353529547,128660021
South Asia (WB),,2022,178230479,128958308,921723085,318089704,101008024
South Asia (WB),,2023,204630347,147092837,954809128,278305884,77742412
South Asia (WB),,2024,232148956,162689512,974274372,244712144,63559592
South Asia (WB),,2025,260334807,177203737,984319683,217917421,52748896
South Korea,KOR,2006,46508308,598467,968531,124572,238414
South Korea,KOR,2008,47216599,736379,737998,130458,233274
South Korea,KOR,2010,47699305,493907,865372,249789,245739
South Korea,KOR,2012,48443166,628093,752694,126428,249471
South Korea,KOR,2014,49351464,385025,757335,133255,119581
South Korea,KOR,2016,50193736,383993,391092,122326,126657
South Korea,KOR,2017,50335040,385368,518067,0,123437
South Korea,KOR,2018,50940602,129933,386194,0,128327
South Korea,KOR,2019,51247467,262100,127607,0,127650
South Korea,KOR,2020,51454269,122846,132378,126747,0
South Korea,KOR,2021,51386936,124854,128966,0,128784
South Sudan,SSD,2009,965220,429693,2374427,1325973,4148243
South Sudan,SSD,2016,153521,101400,1013679,1209109,8066919
Spain,ESP,1980,32243459,1873858,2721132,373358,279357
Spain,ESP,1985,33182461,1729422,3095658,286216,175755
Spain,ESP,1990,36632480,874851,974111,193708,192170
Spain,ESP,1993,36617205,783123,1176242,197816,586878
Spain,ESP,1994,36682569,793120,1284746,296156,492517
Spain,ESP,1995,36659352,883938,1395779,196133,588846
Spain,ESP,1996,36312735,988892,1794495,198926,594804
Spain,ESP,1997,37268648,690594,1404378,298803,394965
Spain,ESP,1998,38213082,612063,906110,109042,383211
Spain,ESP,1999,38776751,516243,700639,102410,290833
Spain,ESP,2000,38961250,391134,749067,96154,370259
Spain,ESP,2003,40806690,358837,517251,121699,383167
Spain,ESP,2004,41359762,395011,616657,114401,436065
Spain,ESP,2005,42090241,358753,727081,103075,374006
Spain,ESP,2006,42546576,461612,886141,110418,392573
Spain,ESP,2007,44027090,322616,558358,65882,252858
Spain,ESP,2008,44690379,293958,554685,158322,256760
Spain,ESP,2009,44745956,378170,731337,106443,401038
Spain,ESP,2010,44769801,369709,941001,147285,349100
Spain,ESP,2011,44650545,523112,795470,170480,603089
Spain,ESP,2012,44378683,673196,978968,265555,476654
Spain,ESP,2013,44000226,624914,1169595,199363,610098
Spain,ESP,2014,43521184,938744,1306553,254019,440232
Spain,ESP,2015,44063023,574935,1081512,213361,489473
Spain,ESP,2016,44036929,546745,1085757,185135,603574
Spain,ESP,2017,44684749,525749,843333,129304,388097
Spain,ESP,2018,44863528,427154,910546,123559,457225
Spain,ESP,2019,45272317,469194,813588,142068,421333
Spain,ESP,2020,45316952,434039,898922,190052,519459
Spain,ESP,2021,46011136,392546,617742,110315,312081
Spain,ESP,2022,46263857,377031,661308,108678,375230
Spain,ESP,2023,46903788,350470,627117,73271,393266
Sri Lanka,LKA,1985,1029645,632958,5755534,3735260,4390757
Sri Lanka,LKA,1990,1170461,647416,6291979,4467858,3836192
Sri Lanka,LKA,1995,1830353,912114,6479294,4428125,4084658
Sri Lanka,LKA,2002,3022333,1153395,7213316,4315335,4101373
Sri Lanka,LKA,2006,4110633,1562867,8583290,3682176,2483512
Sri Lanka,LKA,2009,4222942,1838660,9725270,3405835,1625055
Sri Lanka,LKA,2012,5317573,2011489,9354022,2865910,1328234
Sri Lanka,LKA,2016,6839713,2360064,9021933,2178662,808628
Sri Lanka,LKA,2019,7567841,2610748,9115022,1919519,589870
Sub-Saharan Africa (WB),,1990,35659183,13678486,86836950,64410701,320729400
Sub-Saharan Africa (WB),,1991,35628167,13673613,86613061,63415007,336291816
Sub-Saharan Africa (WB),,1992,35200658,13861796,85957666,63827400,351426592
Sub-Saharan Africa (WB),,1993,33401787,13492685,87369190,66095954,365211136
Sub-Saharan Africa (WB),,1994,33984558,13562106,89714965,68049466,375490825
Sub-Saharan Africa (WB),,1995,35865763,13879421,92342547,69705586,384588955
Sub-Saharan Africa (WB),,1996,38108020,14681281,95156044,73136880,391471759
Sub-Saharan Africa (WB),,1997,39589244,15196237,97877249,76781850,399409244
Sub-Saharan Africa (WB),,1998,39727514,15525416,100334729,80365577,409850348
Sub-Saharan Africa (WB),,1999,39481818,15943743,103734671,85337061,418759923
Sub-Saharan Africa (WB),,2000,40101745,16533220,109071545,89911987,425506623
Sub-Saharan Africa (WB),,2001,41922528,17474353,115814638,95532834,428844255
Sub-Saharan Africa (WB),,2002,43480792,18265871,120142126,99008968,437764387
Sub-Saharan Africa (WB),,2003,44493131,18361026,127010176,105880313,442571514
Sub-Saharan Africa (WB),,2004,48072177,19686789,142012500,116121994,432759660
Sub-Saharan Africa (WB),,2005,51382553,21040742,153572898,121106449,432562446
Sub-Saharan Africa (WB),,2006,56204524,23008366,162975816,126559769,432520901
Sub-Saharan Africa (WB),,2007,59652533,24628725,170827008,132129088,436327510
Sub-Saharan Africa (WB),,2008,64217622,26633897,180727456,138020051,437057870
Sub-Saharan Africa (WB),,2009,66339508,27826008,188627353,142830515,444723880
Sub-Saharan Africa (WB),,2010,71025126,29783746,200765803,150248983,442843030
Sub-Saharan Africa (WB),,2011,74526036,31587799,211383899,155807889,446222505
Sub-Saharan Africa (WB),,2012,78020074,33605859,223169519,162755395,447419457
Sub-Saharan Africa (WB),,2013,82547829,35640205,234948384,167611006,450485472
Sub-Saharan Africa (WB),,2014,86899295,37905970,245129252,171758439,456268068
Sub-Saharan Africa (WB),,2015,90407140,39269968,254190504,175148093,466235431
Sub-Saharan Africa (WB),,2016,92382888,40387463,263859419,178944695,477249663
Sub-Saharan Africa (WB),,2017,94393853,41537792,274143568,183932776,486933707
Sub-Saharan Africa (WB),,2018,96532112,42345872,285002647,190773599,495342826
Sub-Saharan Africa (WB),,2019,97582546,43278088,293753363,198890994,505810593
Sub-Saharan Africa (WB),,2020,90690027,40916825,289041736,206009367,542357469
Sub-Saharan Africa (WB),,2021,90907621,41107279,293605856,214752128,558639084
Sub-Saharan Africa (WB),,2022,92937727,41786180,303045431,221452808,569986430
Sub-Saharan Africa (WB),,2023,93616590,42160264,309366811,228768156,585990515
Sub-Saharan Africa (WB),,2024,97814924,44123366,320368737,235034912,593716749
Sub-Saharan Africa (WB),,2025,102912427,46619984,334028606,241149395,598088052
Sudan,SDN,2009,7599659,3309864,14132219,5002516,4524854
Sudan,SDN,2014,6677419,3716135,18325990,6182638,3921138
Suriname,SUR,2022,453787,39285,101530,14989,13573
Suriname (urban),,1999,131349,33112,57260,24331,63845
Sweden,SWE,1975,8049160,41151,61247,0,40879
Sweden,SWE,1981,8133379,83728,61888,0,41508
Sweden,SWE,1987,8272745,41227,63152,0,20680
Sweden,SWE,1992,8538355,43121,65483,0,21108
Sweden,SWE,1995,8628355,44940,87729,21781,44134
Sweden,SWE,2000,8806378,0,43589,0,22142
Sweden,SWE,2001,8829784,21931,22123,0,22122
Sweden,SWE,2002,8858156,22608,22389,21805,0
Sweden,SWE,2003,8829342,30213,48195,18799,31680
Sweden,SWE,2004,8865676,24441,49007,13543,40864
Sweden,SWE,2005,8837648,21083,50313,17745,102783
Sweden,SWE,2006,8953599,28783,45917,14715,37491
Sweden,SWE,2007,9033009,27446,29497,16297,41843
Sweden,SWE,2008,9084786,27275,32582,14230,60764
Sweden,SWE,2009,9154216,33994,38377,22920,49008
Sweden,SWE,2010,9227101,16781,51736,22607,59901
Sweden,SWE,2011,9292967,16825,58744,18495,62182
Sweden,SWE,2012,9366633,35040,58670,13838,45193
Sweden,SWE,2013,9423294,46099,49896,18604,62486
Sweden,SWE,2014,9558937,16666,51843,17632,51032
Sweden,SWE,2015,9664231,15960,37580,17800,63615
Sweden,SWE,2016,9785549,41752,46915,6933,41936
Sweden,SWE,2017,9958081,15682,51147,6085,26703
Sweden,SWE,2018,9985139,36258,59223,7251,87343
Sweden,SWE,2019,10161425,18284,54548,7616,37014
Sweden,SWE,2020,10240257,12892,46138,7435,46720
Sweden,SWE,2021,10240264,20882,58976,28666,67023
Sweden,SWE,2022,10274698,30879,33040,14983,133341
Sweden,SWE,2023,10356448,24336,59982,7574,88292
Switzerland,CHE,1982,6327954,0,18782,0,44573
Switzerland,CHE,1992,6773174,18497,33780,0,49913
Switzerland,CHE,2000,7134919,16252,15773,0,17306
Switzerland,CHE,2002,7248833,18041,17879,0,0
Switzerland,CHE,2004,7337025,17713,17237,0,17650
Switzerland,CHE,2006,7434665,13851,23751,5973,5694
Switzerland,CHE,2007,7494968,18515,29514,2767,5353
